cityName,localityName,localityId,latitude,longitude,device_type
Kolkata,"Chandannagar, Kolkata",ZWL003271,22.865442,88.367339,1 - Automated weather system
Kolkata,Barrackpore,ZWL003951,22.766771,88.361552,1 - Automated weather system
Kolkata,East Kolkata Township,ZWL003915,22.512832,88.399411,1 - Automated weather system
Kolkata,Bhowanipore,ZWL006750,22.526436,88.343904,2 - Rain gauge system
Kolkata,Elgin,ZWL008828,22.543063,88.356096,1 - Automated weather system
Kolkata,Howrah,ZWL008426,22.604678,88.342218,1 - Automated weather system
Kolkata,New Alipore,ZWL007323,22.506135,88.332770,1 - Automated weather system
Kolkata,Barasat,ZWL006266,22.735727,88.490498,1 - Automated weather system
Kolkata,New Town (kolkata),ZWL008393,22.588818,88.457964,1 - Automated weather system
Kolkata,Uttarpara,ZWL007966,22.692420,88.342900,1 - Automated weather system
Kolkata,Santoshpur,ZWL001039,22.502107,88.388897,2 - Rain gauge system
Kolkata,Liluah,ZWL003882,22.635342,88.343314,1 - Automated weather system
Kolkata,Rajarhat,ZWL004925,22.621505,88.446915,1 - Automated weather system
Kolkata,Park Street area,ZWL005244,22.552632,88.362888,2 - Rain gauge system
Kolkata,Baghajatin Colony,ZWL003687,22.481243,88.374932,1 - Automated weather system
Kolkata,Shrirampur,ZWL008120,22.735733,88.344597,2 - Rain gauge system
Kolkata,Chhota Jagulia,ZWL007514,22.759573,88.747215,2 - Rain gauge system
Kolkata,Dum Dum,ZWL003935,22.656310,88.423694,1 - Automated weather system
Kolkata,Kestopur,ZWL002931,22.597524,88.431114,1 - Automated weather system
Kolkata,Sodepur,ZWL006521,22.701254,88.383329,2 - Rain gauge system
Kolkata,Nimta,ZWL005558,22.670256,88.413503,2 - Rain gauge system
Kolkata,Shapoorji,ZWL005174,22.567623,88.497427,1 - Automated weather system
Kolkata,Barabazar Market,ZWL002488,22.574220,88.366682,1 - Automated weather system
Kolkata,Salt Lake 1,ZWL007934,22.573829,88.412814,2 - Rain gauge system
Kolkata,Tangra,ZWL001584,22.555059,88.388175,1 - Automated weather system
Kolkata,Gariahat,ZWL005429,22.514492,88.362000,2 - Rain gauge system
Kolkata,Santragachi,ZWL005121,22.621044,88.283605,1 - Automated weather system
Kolkata,Garia,ZWL007830,22.469249,88.382261,2 - Rain gauge system
Kolkata,"Chinsurah, Kolkata",ZWL008991,22.933551,88.398649,1 - Automated weather system
Kolkata,Kankurgachi,ZWL009194,22.573467,88.391666,1 - Automated weather system
Kolkata,Kasba,ZWL004722,22.521693,88.389844,1 - Automated weather system
Mumbai,Mira Road East,ZWL006536,19.278130,72.874722,1 - Automated weather system
Mumbai,Kandivali West,ZWL004934,19.212156,72.828850,2 - Rain gauge system
Mumbai,"Boisar, Mumbai",ZWL004821,19.804797,72.745805,2 - Rain gauge system
Mumbai,Bhiwandi,ZWL007249,19.251790,73.087318,1 - Automated weather system
Mumbai,Panvel,ZWL001164,18.998845,73.108933,1 - Automated weather system
Mumbai,Kopar Khairane (Navi Mumbai),ZWL009537,19.113909,73.012598,1 - Automated weather system
Mumbai,Vashi,ZWL007275,19.067662,73.004987,2 - Rain gauge system
Mumbai,"Titwala, Mumbai",ZWL002556,19.292555,73.205899,1 - Automated weather system
Mumbai,Kandivali East,ZWL006937,19.200730,72.865461,1 - Automated weather system
Mumbai,Nalasopara,ZWL008636,19.424433,72.817134,1 - Automated weather system
Mumbai,Lower Parel,ZWL003995,19.005114,72.820143,1 - Automated weather system
Mumbai,Goregaon East,ZWL006938,19.163093,72.872277,1 - Automated weather system
Mumbai,Santacruz East,ZWL008550,19.076131,72.858715,1 - Automated weather system
Mumbai,"Ghatkopar East, Mumbai",ZWL004494,19.080794,72.922280,1 - Automated weather system
Mumbai,Palava,ZWL003708,19.168067,73.074612,1 - Automated weather system
Mumbai,Malad West,ZWL008711,19.187022,72.827076,1 - Automated weather system
Mumbai,Borivali East,ZWL005991,19.241003,72.865970,1 - Automated weather system
Mumbai,"Kalyan,West,Mumbai",ZWL002865,19.255127,73.128176,1 - Automated weather system
Mumbai,Santacruz West,ZWL004749,19.082610,72.835608,1 - Automated weather system
Mumbai,"Badlapur, Mumbai",ZWL001274,19.174156,73.225767,1 - Automated weather system
Mumbai,Ambernath,ZWL007699,19.199776,73.181176,1 - Automated weather system
Mumbai,Marine lines,ZWL001764,18.952178,72.825198,1 - Automated weather system
Mumbai,Mulund West,ZWL002921,19.170765,72.942239,1 - Automated weather system
Mumbai,Airoli,ZWL001410,19.170339,72.995114,1 - Automated weather system
Mumbai,Kharghar (Navi Mumbai),ZWL009757,19.069735,73.055883,1 - Automated weather system
Mumbai,Ulhasnagar (Mumbai),ZWL002059,19.224136,73.169340,1 - Automated weather system
Mumbai,"Ghatkopar West, Mumbai",ZWL001058,19.096740,72.904562,1 - Automated weather system
Mumbai,Bandra West,ZWL006995,19.068857,72.833000,1 - Automated weather system
Mumbai,Dadar West,ZWL004692,19.021199,72.835378,1 - Automated weather system
Mumbai,Andheri West,ZWL007667,19.137106,72.834828,1 - Automated weather system
Mumbai,Vile Parle West,ZWL009338,19.109560,72.832194,1 - Automated weather system
Mumbai,Byculla,ZWL009167,18.974283,72.833712,1 - Automated weather system
Mumbai,Vasai,ZWL006032,19.364358,72.836612,1 - Automated weather system
Mumbai,"Kalyan,East (Mumbai)",ZWL007397,19.221503,73.138111,1 - Automated weather system
Mumbai,"Ulwe, Mumbai",ZWL009360,18.974217,73.024914,1 - Automated weather system
Mumbai,Fort,ZWL002205,18.940613,72.834235,1 - Automated weather system
Mumbai,Andheri East,ZWL008975,19.108639,72.874437,1 - Automated weather system
Mumbai,Chembur,ZWL009252,19.049840,72.907847,2 - Rain gauge system
Mumbai,"Palghar, Mumbai",ZWL002558,19.700631,72.763031,2 - Rain gauge system
Mumbai,"Mumbra, Mumbai",ZWL002742,19.172636,73.023715,2 - Rain gauge system
Mumbai,Mulund East,ZWL004971,19.154253,72.962493,2 - Rain gauge system
Mumbai,"Shirdhon, Mumbai",ZWL008348,19.195881,73.128886,1 - Automated weather system
Mumbai,Virar,ZWL001344,19.461784,72.799199,1 - Automated weather system
Mumbai,Tardeo,ZWL007606,18.961317,72.805513,1 - Automated weather system
Mumbai,Bandra East,ZWL005697,19.064138,72.852737,2 - Rain gauge system
Mumbai,Thane West,ZWL005442,19.227309,72.972736,1 - Automated weather system
Mumbai,Kurla West,ZWL004189,19.079972,72.881537,1 - Automated weather system
Mumbai,Goregaon West,ZWL005000,19.162722,72.841610,1 - Automated weather system
Mumbai,Hiranandani Estate,ZWL002056,19.267411,72.967074,1 - Automated weather system
Mumbai,Dombivli,ZWL009826,19.210229,73.102272,1 - Automated weather system
Mumbai,Bhandup West,ZWL007889,19.151889,72.934553,1 - Automated weather system
Mumbai,Kamothe,ZWL008977,19.023359,73.091814,1 - Automated weather system
Mumbai,"Powai, Mumbai",ZWL006622,19.115248,72.908952,1 - Automated weather system
Mumbai,Naupada,ZWL002074,19.188451,72.968001,1 - Automated weather system
Mumbai,Bhayandar West,ZWL008874,19.257869,72.804743,1 - Automated weather system
Mumbai,Vileparle East,ZWL001334,19.098430,72.864947,1 - Automated weather system
Mumbai,Sion,ZWL008378,19.045271,72.864631,1 - Automated weather system
Mumbai,Nerul (Navi Mumbai),ZWL007690,19.031072,73.026647,1 - Automated weather system
Mumbai,Dahisar West,ZWL007706,19.255014,72.848267,1 - Automated weather system
Mumbai,Colaba,ZWL005320,18.919405,72.824376,1 - Automated weather system
Mumbai,Mahim,ZWL006544,19.039256,72.843913,1 - Automated weather system
Mumbai,Wadala,ZWL002686,19.017538,72.867138,1 - Automated weather system
Mumbai,Borivali West,ZWL001089,19.229714,72.839710,1 - Automated weather system
Mumbai,"Palava Lakeshore,Mumbai",ZWL008360,19.165716,73.105733,1 - Automated weather system
Bengaluru,Banashankari,ZWL003467,12.936787,77.556079,1 - Automated weather system
Bengaluru,Rajarajeshwari Nagar,ZWL004900,12.918637,77.505467,1 - Automated weather system
Bengaluru,JP Nagar,ZWL005530,12.893441,77.560436,1 - Automated weather system
Bengaluru,Mahadevapura,ZWL007643,12.985322,77.687578,1 - Automated weather system
Bengaluru,Jalahalli,ZWL003159,13.031518,77.530986,1 - Automated weather system
Bengaluru,RT Nagar,ZWL002736,13.021267,77.601234,1 - Automated weather system
Bengaluru,KR Puram,ZWL006369,13.016987,77.706819,1 - Automated weather system
Bengaluru,Electronic City,ZWL006274,12.833101,77.673182,1 - Automated weather system
Bengaluru,Vijayanagar,ZWL005375,12.973219,77.519303,1 - Automated weather system
Bengaluru,Marathahalli,ZWL008600,12.955103,77.696507,1 - Automated weather system
Bengaluru,Sarjapur road,ZWL002292,12.900225,77.697451,1 - Automated weather system
Bengaluru,Brookefields,ZWL004341,12.967420,77.717851,1 - Automated weather system
Bengaluru,Whitefield,ZWL007633,12.975224,77.740422,1 - Automated weather system
Bengaluru,Nagavara,ZWL009212,13.048370,77.625534,1 - Automated weather system
Bengaluru,New BEL Road,ZWL007628,13.040495,77.569420,1 - Automated weather system
Bengaluru,Koramangala,ZWL001156,12.933756,77.625825,1 - Automated weather system
Bengaluru,"Bannerghatta Road, Bangalore",ZWL004924,12.891397,77.608176,1 - Automated weather system
Bengaluru,Aavalahalli,ZWL009229,13.034488,77.712241,1 - Automated weather system
Bengaluru,BIAL Airport Road,ZWL005576,13.178996,77.630005,1 - Automated weather system
Bengaluru,Yelahanka,ZWL006658,13.111809,77.589276,1 - Automated weather system
Bengaluru,Kadugodi,ZWL002882,13.007511,77.763209,1 - Automated weather system
Bengaluru,Kammanahalli,ZWL006631,13.016050,77.661735,1 - Automated weather system
Bengaluru,HSR Layout,ZWL001196,12.908482,77.641773,1 - Automated weather system
Bengaluru,BTM Layout,ZWL006600,12.916931,77.608897,1 - Automated weather system
Bengaluru,Varthur,ZWL006854,12.936055,77.723415,1 - Automated weather system
Bengaluru,Indiranagar,ZWL001273,12.952636,77.653059,1 - Automated weather system
Bengaluru,Jayanagar,ZWL008105,12.944441,77.581003,1 - Automated weather system
Bengaluru,Sahakaranagar,ZWL005206,13.059918,77.591344,1 - Automated weather system
Bengaluru,"Devanahalli, Bangalore",ZWL008797,13.258381,77.716183,1 - Automated weather system
Bengaluru,MG Road,ZWL001962,12.982689,77.608075,1 - Automated weather system
Bengaluru,Rajajinagar,ZWL006844,12.993217,77.557903,1 - Automated weather system
Bengaluru,Bellandur,ZWL004164,12.936225,77.665059,1 - Automated weather system
Pune,NIGDI(Pune),ZWL007698,18.646511,73.775411,1 - Automated weather system
Pune,Bibvewadi (Pune),ZWL005773,18.492332,73.861939,1 - Automated weather system
Pune,Nanded-Nahre,ZWL009577,18.453179,73.811077,1 - Automated weather system
Pune,Bhosari (Pune),ZWL002253,18.643893,73.858653,1 - Automated weather system
Pune,Camp Area,ZWL003498,18.513693,73.877293,1 - Automated weather system
Pune,Magarpatta,ZWL004311,18.519482,73.934360,1 - Automated weather system
Pune,Pimpri,ZWL007801,18.625381,73.791194,2 - Rain gauge system
Pune,Yerwada,ZWL008134,18.544659,73.869499,1 - Automated weather system
Pune,Kalyani Nagar (Pune),ZWL009625,18.546538,73.906594,1 - Automated weather system
Pune,"Sus, Pune",ZWL001627,18.564293,73.753879,1 - Automated weather system
Pune,Bavdhan,ZWL006236,18.514730,73.777922,1 - Automated weather system
Pune,Viman nagar,ZWL006743,18.564998,73.911551,1 - Automated weather system
Pune,Aundh (Pune),ZWL004927,18.559795,73.807123,1 - Automated weather system
Pune,Katraj (Pune),ZWL008370,18.451394,73.847642,1 - Automated weather system
Pune,Pimple Saudagar_Pune,ZWL004523,18.600897,73.798441,1 - Automated weather system
Pune,Dhanori,ZWL001778,18.588936,73.907711,1 - Automated weather system
Pune,Dehu Road,ZWL003386,18.695874,73.740365,1 - Automated weather system
Pune,Koregaon Park (Pune),ZWL009157,18.535326,73.883976,1 - Automated weather system
Pune,Hinjewadi - Phase 2,ZWL004962,18.585004,73.706319,1 - Automated weather system
Pune,Wakad_Pune,ZWL005340,18.599555,73.774652,2 - Rain gauge system
Pune,"Manas Lake, Pune",ZWL009671,18.491382,73.748953,1 - Automated weather system
Pune,Sadashiv Peth,ZWL008921,18.511357,73.856996,2 - Rain gauge system
Pune,Ghorpadi (Pune),ZWL008940,18.519767,73.897269,2 - Rain gauge system
Pune,Pashan (Pune),ZWL009874,18.527587,73.789459,1 - Automated weather system
Pune,"SP Infocity, Pune",ZWL006660,18.487813,73.947187,2 - Rain gauge system
Pune,"Manjri,Pune",ZWL003813,18.509232,73.978364,2 - Rain gauge system
Pune,"Khadki, Pune",ZWL007471,18.563289,73.835023,1 - Automated weather system
Pune,Kothrud (Pune),ZWL009602,18.504984,73.811587,1 - Automated weather system
Pune,Sinhagad Road(Pune),ZWL002208,18.477264,73.826437,1 - Automated weather system
Pune,"New Sangvi, Pune",ZWL007895,18.578959,73.823437,2 - Rain gauge system
Pune,"Nimgaon, Pune",ZWL003099,18.794589,73.910016,1 - Automated weather system
Pune,Wagholi,ZWL004575,18.579310,73.972122,2 - Rain gauge system
Pune,"Keshavnagar, Pune",ZWL004513,18.537273,73.944521,1 - Automated weather system
Pune,Baner (Pune),ZWL008983,18.567954,73.783475,1 - Automated weather system
Pune,Warje (Pune),ZWL005520,18.472703,73.788400,1 - Automated weather system
Pune,"Mundwa, Pune",ZWL003300,18.535220,73.918549,2 - Rain gauge system
Pune,Chakan,ZWL001963,18.752436,73.837484,1 - Automated weather system
Pune,Shivaji Nagar (Pune),ZWL002422,18.526724,73.841658,2 - Rain gauge system
Pune,"Yewalewadi, Pune",ZWL005088,18.439804,73.902433,2 - Rain gauge system
Pune,"Bopkhel, Pune",ZWL003014,18.586306,73.859602,1 - Automated weather system
Pune,Kharadi,ZWL001472,18.552390,73.941901,1 - Automated weather system
Pune,Talegaon Dabhade,ZWL004339,18.738724,73.675701,1 - Automated weather system
Pune,Hinjewadi - Phase 1,ZWL003817,18.596583,73.733312,1 - Automated weather system
Pune,Wanowrie-Kondhwa,ZWL007925,18.477085,73.900966,1 - Automated weather system
Hyderabad,Nagole,ZWL003370,17.359969,78.565724,1 - Automated weather system
Hyderabad,Attapur,ZWL002088,17.380875,78.415717,1 - Automated weather system
Hyderabad,Peerzadiguda,ZWL006702,17.411644,78.578220,1 - Automated weather system
Hyderabad,Begumpet,ZWL008776,17.442659,78.482009,2 - Rain gauge system
Hyderabad,"Suraram, Hyderabad",ZWL003918,17.559752,78.437467,1 - Automated weather system
Hyderabad,Banjara Hills,ZWL004079,17.419238,78.438474,1 - Automated weather system
Hyderabad,Alwal,ZWL008309,17.508852,78.507402,1 - Automated weather system
Hyderabad,Sainikpuri,ZWL002433,17.489079,78.558910,2 - Rain gauge system
Hyderabad,Saroor Nagar,ZWL007390,17.348264,78.530476,1 - Automated weather system
Hyderabad,Karkhana,ZWL004767,17.467142,78.496696,1 - Automated weather system
Hyderabad,Kompally,ZWL006016,17.533309,78.489965,1 - Automated weather system
Hyderabad,Himayatnagar,ZWL003283,17.402602,78.487229,1 - Automated weather system
Hyderabad,Medchal Road,ZWL007311,17.637191,78.480392,1 - Automated weather system
